제목,요약
아내를 그만두는 날 [독점]," “그 여자가 돌아왔어.”남편이 사랑한 여자가 돌아왔다.알면서도 시작한 결혼이었지만, 하늘이 무너진 것처럼 아득했다.“이혼할 생각 같은 건 없어.”그 뻔뻔한 태도에도 그를 놓을 수 없는 자신이 제일 싫었다.그래서 욕심을 냈다.“나, 아이 가지고 싶어요.”그 순간만큼은 오직 자신만을 바라보길 바라는 마음에.“아이 만들어야지. 내가 적극적으로 노력해보려고.”하지.."
널 갖는 대가," “2920호. 위로 올라오세요. 맞선 볼 거니까.”진창이나 다름없던 지원의 인생은, 그 전화 한 통으로 바뀌었다.***“수도 없이 널 안는 상상을 했어.”욕망과 이성이 팽팽하게 줄다리기하는 경계선.“눈앞에 보이지 않으면 돌아 버릴 것 같고....... 이렇게.......”잔뜩 억눌린 목소리가 귓가를 울렸다.피할 새도 없이 남자의 입술이 지원의 입술에 닿았다.“키스까지 하.."
"이 결혼, 새로 고침 [독점]"," ""내가 엄마예요."" 스무 살 채유정. 같은 보육원에 들어온 아기 소은을 제 아이처럼 키웠다. “내가 아빠야.” 카브코스메틱 대표 강지운. 죽은 형의 아이를 드디어 찾았다. “그렇게 원하면 결혼하고 진짜 엄마가 되든지.” 겁을 주려 했지만 발칙한 이 학생은 되려 마음대로 하란다. 결혼 직후 사업 문제로 미국을 가게 된 지운, 5년 뒤 돌아왔을 때는. “저 여.."
미친 중독 [독점]," 5년 만에 재회한 두 남녀.“그래도 내 세상의 중심은 유지안, 너야.”언뜻 차가워 보이는 주헌의 얼굴에서 눈빛만큼은 뜨겁게 일렁였다.“몇 번을 날 배신해도 좋아.”그가 지안의 긴 머리카락에 자신의 손가락을 깊숙이 밀어 넣으며 말했다.“얼마든지 배신당해줄 테니까.”주헌의 말에 지안의 눈동자가 세차게 흔들렸다.이윽고 그가 허리를 천천히 숙이며 지안의 귓가에 느.."
신입은 낮져밤이 [독점]," 낮에는 천사같이 다정한 신입이, 밤만 되면 달라진다. 잘생긴 우리 신입이, 회장님 아들이었다니! 게다가 건방지고 망나니로 소문난 '그' 둘째. 차라리 모르던 때가 좋았다. 본격 나만 두려운 회사 생활이 시작되었다. ""라면 먹고 갈래?"" 언제부터인가 밤의 갑질이 점점 짙어지기 시작하는데......."
부도덕한 재회," 재벌 3세 안휘겸과 신인 배우 성연아.누군가는 스폰서 관계라고 손가락질했지만 서로를 진심으로 사랑했다.인형 같은 외모, 뛰어난 연기력, 대형 기획사 대표 아버지라는 뒷배.배우로서 한창 주가를 올리던 중, 연아가 돌연 사라져 버린다.순탄했던 휘겸의 삶이 바닥 끝까지 처박혔던 그 순간에.5년 후, 가장 보여 주고 싶지 않은 모습으로 휘겸과 재회한 연아.“힘 있.."
"널 안고, 울리고 [독점]"," “그러니 유혹해 봐요.”낮은 목소리가 질척하게 달라붙었다.“내가 차은서 양을 안지 않고서는 못 배길 수 없게끔 만들어 보라고.”“......내가 왜 그래야 하는데요?”“원하잖아, 도망칠 곳.”그를 담은 투명한 눈동자가 일렁였다.“내가 도피처가 되어 주겠다고. 차은서 양의.”붉은 입술이 파르르 떨리는 걸 보며 정혁은 제 유혹이 성공하리라는 걸 직감했다.“재미있을 거.."
불순한 임신 [선공개], “잘도 숨었네.”그의 말을 듣는 순간 모든 걸 체념하듯 고개를 떨구었다.몇 달 동안 집을 나와 배 속의 아이와 함께 정착할 곳을 찾으려고 애쓴 노력이 한순간에 물거품이 되어버렸다.도망치고 싶었지만 그럴 곳이 없었다.이젠 어딜 가든 그녀를 놓치지 않을 남자였다.***“잘난 남편을 두고 왜 집을 나갔는지 말할 생각은 없어?”강우의 낮은 목소리에 그를 감상하던 ..
곧 이혼할 사이 [독점]," “난 다음 주에 결혼하고 2년 후에 이혼할 사람을 찾고 있습니다.” 고고한 자태, 절제된 품위, 오만한 시선. 미끈하게 잘빠진 맹수를 떠올리게 하는 남자, 서진현.선하는 그에게 계약 결혼을 제안받는다.신부 후보 중 ‘가장 덜 거슬려서’라는 이유로.손해 볼 것 없는 장사라는 생각에 흔쾌히 받아들였다.그리고 2년 후.제 곁에서만 잠이 온다는 그에게 가슴이 뛰기.."
배덕한 제안," MH 그룹의 총수 황재상이 죽자 왕자의 난을 정리하고 스스로 총수 자리에 앉은 잔혹하고 잔인한 폭군, 황현호.그는 금진항공 인수를 위해 아버지의 숨겨진 사생아인 채희를 찾아간다. “넌 금진항공사를 되찾는데 일조해야 해. 네 어미를 내 아비가 가장 총애했으니까 말이야.”현호의 명으로 채희는 금진항공 외아들과 결혼하지만, 남편과 그의 내연녀의 계략에 휘말려 아.."
야간근무 [독점]," ""신 비서. 오늘부터 우리 집에서 야간근무를 해줘.""회사의 야근금지가 시행된 지 나흘째 되는 날.윤아는 워커홀릭 부사장, 제후의 부탁을 받게 된다.그렇게 시작된 둘만의 야간근무.밤 여덟시부터 열한시까지, 그의 집에 머물며 일하던 어느 날.윤아는 언제나 냉철하던 제후의 눈빛에서 자신을 향한 욕망을 읽는다.그건 단순한 착각이었을까.아니면 진짜 내게 관심이 있는.."
비서 스캔들 [선공개][외전 포함], “딱 일 년만 결혼 생활 보여주고 이혼 절차 밟아. 그때쯤 되면 스캔들도 잠잠해질 거야.”LJ 전자 한재준 전무이사가 스무 살짜리 신입 비서에게 몹쓸 짓을 했다는 더러운 소문이 사내에 파다하게 퍼졌다.이미 걷잡을 수 없이 커져 버린 거짓 스캔들 앞에서 한재준이 쓰레기가 아니라는 걸 증명하기 위한 유일한 방법은 그와 결혼하는 것.“방법은 하나뿐이야. 지금 대..
가짜 파혼 [독점]," “살아도, 죽어도 내 곁에 있어.”파혼 후 3년. 살얼음판을 걷는 듯한 시간이 이어졌지만, 세연은 윤조를 떠나지 못했다.“나 결혼해.”여느 때와 다름없는 격렬한 관계 후불행인지, 다행인지이 지긋지긋한 가짜 파혼을 끝낼 계기가 생겼다.“3년 전에 못 했던 이별, 오늘 해요.”“달라질 것 없어. 넌 계속 내 옆에 있으면 되니까.”사랑이 아닌 줄은 알고 있었다..."
결혼은 당신 형과 [독점]," “저 임신했어요, 언니 남편의 아이.”결혼 생활 5년 만에 알게 된 남편의 외도 사실.기막히게도 남편의 내연녀는 아끼던 내 후배였다.그리고 나는 살해 당했다.이대로 끝이라고 생각했는데, 눈을 뜨니 결혼식 날로 돌아왔다.날 지옥에 밀어 넣은 두 사람은 태연히 사랑을 속삭이고 있었다.그것도 내 결혼식장, 후미진 곳에서......!“그토록 바라던 결혼은 둘이서 해.”금.."
잘못 끼운 사랑 [독점]," 직장 상사인 서우진을 2년째 짝사랑하고 있는 희봄.자신과는 입장이 극명하게 다른 데다 약혼 상대까지 있는 우진이기에애써 그를 향한 마음을 접어 보려 하지만,“내 약혼자랑 자 줬으면 해요.”어느 날 우진의 약혼녀, 인경이 나타나 그를 유혹하라며 뜻밖의 제안을 건넨다.“저는 절대로 서 전무님과 그런 사이가 아닙니다. 앞으로 그럴 일도 없고요.”다른 남자와 밀회.."
