제목,요약
빌어먹을 환생," 마왕을 절멸하기 위해 동료들과 여정을 떠났던 용사 하멜.마왕과의 일전을 코앞에 두고 죽음을 맞이한 뒤,“응애.”‘뭐야 씨X.’동료였던 용사, 베르무트의 후손으로 환생하게 된다.위대한 베르무트의 피를 이은 하멜. 아니, 유진 라이언하트.‘전생의 몸도 천재라 착각할 만큼은 됐는데. 이건...... 비교가 안 돼.’성능부터 다른 몸으로,전생에 가지지 못했던 기하학적인 .."
기상청 공무원 현태오," 환생 후 자연을 읽는 능력을 얻었다.""야이 씨~, 뭐 대지진? 너 그 말에 책임질 수 있어?!""아, 좀 믿으라고!"
지구식 구원자 전형 [독점]," 여느 때와 같았던 월요일 오전 8시.전 세계의 인간에게, ‘지구’가 말을 걸었다.「주민 여러분, 나쁜 소식을 전하게 되어 유감입니다. 우주에 의해 제 수명이 다 되었다는 판정이 내려졌습니다....... 지금까지 지구였습니다. 죄송합니다.」게이트를 통해 등장하는 끔찍한 존재들과구원자라는 이름으로 선택받은 자들.인간의 존엄이 짓밟히는 파멸 속에서전직 게임사 말단 대리.."
고인물 신입생이 되었다 [독점], 2020 지상최대공모전 수상작!2회차 신입생이 힘을 안 숨김.
방구석 조물주 [독점]," 어느 날, 조물주가 되었다.네 평 남짓한 내 방에서.세상을 버린 지 5년째가 되던 날.세상이 내게로 왔다."
나 혼자 특성빨로 무한 성장 [독점], 2020 지상최대공모전 수상작!평생 헌터가 되지 못할 줄 알았다.기회 같은 것은 찾아오지 않을 거라 여겼다.하지만 아니었다.「‘시련의 탑’이 지구 차원의 모든 적합자를 선별해냈습니다.」「난이도를 선택해주십시오.」「선택하는 난이도에 따라서 보상도 커집니다.」이제 내게도 기회가 주어졌다.그것도 아주 특별한.
위대한 가문의 검술 천재가 되었다 [외전포함], 위대한 가문의 낙오자 백우진에게 새로운 기회가 찾아왔다.[새로운 퀘스트가 도착했습니다.]
악역은 성검을 쥔다 [독점]," “형님, 저를 죽여주십시오.”가장 화려할 순간에 죽기 바라는 용사 아벨과.“왜 그딴 미친 소리를 하는지나 들어보자.”그의 소원을 들어주는 전사 카인.분명 한 번 살았던 삶이지만, 모르던 것이 많았기에 다시 한 번 삶을 선택한다."
생존할수록 무한성장, 두 번째 삶.가늘고 길게 사는 게 목표다.그런데 어느 날부터 주변 사람들이 사망 플래그를 세우기 시작했다.
규격 외 혈통 천재 [독점]," “내가 불멸자니, 그 피가 너한테도 이어졌을 거다.”아버지는 말씀하셨다.“엄마는 변신할 수 있어.”어머니도 말씀하셨다.난 혼혈, 두 개의 혈통을 이었다."
빌런이 본색을 숨김, 나도 히어로 해야지.#빌런 #사이코 #사이다#캐빨 #착각 #아카데미 한 스푼
회귀한 공자는 쉬고 싶다 [독점]," 살 만큼 살았는데 회귀해 버렸다.똑같은 짓을 또 하라고?아니, 이번 생은 좀 다르게 간다."
나 혼자만 레벨업," 「패왕을 보았다」의 작가 추공.이번에는 레이드의 진수를 보여준다!『나 혼자만 레벨업』재능 없는 만년 E급의 헌터, 성진우.기이한 던전에서 죽음을 목전에 두지만위기는 언제나 기회와 함께 찾아오는 법![플레이어가 되실 자격을 획득하셨습니다.]“플레이어? 내가 레벨업을 할 수 있다고?”전 세계 헌터 중 유일무이, 전무후무시스템과 레벨업 능력을 각성한 진우.세상을.."
템빨, 박새날 게임 판타지 장편소설 『템빨』 공사장에서 벽돌 나르고 삽질하는 불운한 인생의 신영우. 그런데 심지어 게임 속에서 노가다라니. 하지만 불운한 인생이라 한탄하던 그에게도 행운이 찾아오는 것인가. 퀘스트 수행을 위하여 북쪽 끝의 동굴로 향한 '그리드'. 그곳에서 '파그마의 기서'를 발견한 그는 레전드리 직업으로 전직하게 되는데.......
리턴 투 플레이어 [독점]," 게임은 클리어했지만, 그 끝은 배드엔딩이었다.인류의 종말.살아남은 플레이어는 단 한 명.모든 것이 끝나던 그 순간, 인류 최후의 플레이어는 하나의 메시지를 받게 된다.[싱글 모드를 모두 클리어하여 DLC상점이 오픈됩니다.]"
