제목,요약
"무한 자본, 내 맘대로 세상 만들기 [독점]"," “싸락눈은 모을 수 없어. 허망하게 녹아 버리거든. 그런데 함박눈은 막을 수 없지. 온 천지를 덮어 버리니까. 무한 자본, 알아? 이제 내 맘대로 바꿀 거야. 두려워하고, 복종하지 않으면 다 부숴 주마. 이 더러운 세상!”"
네 법대로 해라," 억울하세요? 분통 터지세요? 복수하고 싶으세요?그런데 힘이 없잖아요. 돈도, 빽도, 권력도 없잖아요. 그렇죠?당신이 기댈 데라고는 법밖에 없죠?하지만 그 법도 당신을 배신했죠?제게 맡기세요, 제가 당신을 위해서 법을 휘두르겠습니다!아주 시원하게 말이죠!"
사체 포식이 너무 강함, 복수를 다짐하고 돌아온 가람복수와 가족의 평화를 위해 시체를 흡수한다.[회귀물][헌터][복수][상태창]
이혼 후 로또 1등 감독님," “그 사람과 함께하는 동안 저는 한순간도 행복하지 않았어요.”대한민국 대표 여배우 윤설하.그녀가 폭력적인 전남편 때문에 TV 속에서 울고 있었다.문제는, 저 여자가 나의 전 부인이라는 거지.그냥 다 잊고 살려고 했는데,내 부모님마저 아들 잘못 키운 인간으로 호도하다니.견딜 수도, 그렇다고 빠져나갈 구멍도 없는 상황.“최 프로, 다음 주부터 출근할 필요 없어.."
좀비묵시록 82-08 [독점]," 어느 날 갑자기 서울 전역에 퍼진 의문의 전염병!  “이건 그냥 평범한 시체가 아니야, 괴물이야....”  예고 없이 닥쳐온 심판의 그날, 세상의 모든 질서는 완전히 리셋되었다.  시체들이 점령한 죽음의 도시에서는 저마다의 생존 경쟁이 벌어지는데.......  아무도 주목하지 않았던 뜨거운 녀석들이 반격의 신호탄을 높이 쏘아 올린다."
천재의 게임방송 [외전포함]," [제5회 대한민국 웹소설 공모대전 대상 수상작]그건 그저 재능이었다.단순히 압도적이라 표현하기에도 부족한, 실로 폭력적인 재능.[개인방송][게임천재][피지컬괴물]"
이번 생은 두 번째라서, 1995년 6월 29일로 돌아온 나는 부모님을 구했다.
두 번 사는 프로듀서 [독점]," 2019 지상최대공모전 수상작!""어, 미안. 근데 먼저 한 사람이 임자 아니야? 방송계가 원래 그런 거잖아.""뼈저리게 후회하고 이를 갈았지만, 바로잡을 수가 없었다.포기하고 모든 걸 놓으려던 그때.내 인생에 두 번째 기회가 찾아왔다."
지금 출세하러 갑니다," 어느 날 눈을 떠보니, 5년 전 놓쳐버린 기회의 순간으로 회귀. 주인공 경태는 그 기회의 순간이 당시엔 그게 기회인지 몰랐었다.자신이 가진 특유의 명석함과 노련함으로 자신이 놓친 5년 전의 기회를 기반으로 삼아 인생 역전을 꿈꾸는 주인공의 출세 쟁탈기가 독일과 스페인 등 유럽을 배경으로 시원하게 펼쳐진다."
악마는 바이올린을 켠다," 가장 어둡고 낮은 무대에서, 가장 밝고 드높은 광휘의 무대로.#음악천재 #예술 #예고 #재벌막내 #바이올리니스트"
투자의 신으로 살겠다 [독점]," 여의도를 넘어 세계의 큰손이 되겠다『투자의 신으로 살겠다』동물적인 감각을 통해 투자를 성공시키며대한민국 최고 금융사의 신성으로 불리던 유망주, 이동훈어느 순간부터 감을 잃게 되고 끝없이 추락하던 어느 날불의의 사고를 겪고 신입사원 시절로 회귀하게 되는데기연은 그뿐만이 아니었다'감이...... 다시 돌아왔어?!''못다 이룬 내 꿈을 이룰 기회다.'이제부터, 압도적인.."
바람직한 지구생활," 흔들리지 않는 멘탈, 친화력 갑, 잔머리의 대가!뭔가 엄청난 사명을 받고 지구로 내려왔는데, 그게 뭔지를 모른다.기억상실증에 걸린 외계인의 생존기가 시작된다.그의 가장 큰 문제는, 적응력이 너무 뛰어나다는 거.그런데 왜 내가 고등학생이지? 이상하게 범죄자들만 보면 못 참고 용감해진다."
좀비묵시록 화이트아웃 [독점]," 좀비들과 흰눈으로 뒤덮인 차가운 겨울.멋진 친구들이 세상을 구하기 위해 다시 전장으로 나섰다.심장을 조여오는 본격 좀비 서바이벌.지금, 당신의 무기를 들고 이 벅찬 모험에 합류하라!"
변방의 외노자," 일하기가 싫다. 너무나도 싫다. 그러나 별 수는 없다.인간과 엘프, 오크와 트롤, 드래곤 등 외계인 이민자들이 한데 모여 살아가는 지구에는 날마다 사건이 끊이질 않는다.일 안 하면 죽는 남자의 위장취업 800년 차 고군분투기"
내가 투자하면 다 오른다," 경제, 경영? 그런거 모른다.그런데 그냥 투자하면 다 오른다."
재벌 3세 천재 배우가 되었다, [제7회 대한민국 웹소설 공모대전 수상작]배우가 되고 싶어서 과거로 왔는데 재벌 3세 망나니 배우의 몸으로 들어왔다.
연기 재능이 깡패임 [독점]," 밑바닥을 전전하던 소년, 배우의 재능으로 비상하다."
국세청 망나니 [독점]," 어느날부턴가 내 눈에는 탈세액이 보였다.""세상은 참 더럽구나.""그리고 정의를 구현하기 위해 국세청 망나니가 칼춤을 추기 시작한다.일반인부터 고위공직자, 그룹 회장, 권력자에 이르기까지.누구도 그 칼날을 피해갈 수 없다.""나한테 인간은 딱 두 종류입니다. 성실납세자냐, 탈세범이냐. 당신은 어느쪽입니까?"""
장침 먹는 깡촌 명의, 명의는 아무나 되나?#장침명의 #힐링침 #힐링깡촌 #경운기 모는 한의사
제국사냥꾼 [독점], 마법이 돌아왔다.가장 무가치한 지식을 지켜온 자들이 가장 영화로운 꿈을 꾸기 시작할 것이다.
재벌가 첫째아들 [독점]," 막내에게 기업을 빼앗겼다『재벌가 첫째아들』한 가정의 장남으로 태어나가족과 가업을 지키기 위해 모든 걸 희생했다가족을 위해 궂은 일을 마다하지 않았고형제들을 위해 자신의 것을 희생했다그런데, 동생이 날 배신했다“이제 와서 아무런 의미도 없지, 없어. 다 끝난 일이거늘......”그렇게 삶을 포기하고 죽음을 택한 그 순간,모든 것이 뒤틀리기 시작했던 ‘그날’로 돌아왔.."
회귀한 재벌3세는 대스타가 되다, 재벌 3세인데 2회차는 제대로 살아보렵니다.이능 없는 줄 알았는데 어? 있네?
만능잡캐 [독점]," 좀비들로 뒤덮여버린 세상. 그런데 이 아포칼립스... 해볼 만하겠는데?![전문가에게서 스킬을 '전수'받을 수 있습니다.] 멘탈케어, 목조건축, 천마신공, 동물교감, 기계공학, 연주 등등.. 배울 게 너무 많아서 문제다! 뭐든 다 잘하는, 준비된 생존자의 질주가 시작된다!"
천재작가 차은수," [제7회 대한민국 웹소설 공모대전 수상작]어느 날, 드라마의 미래를 볼 수 있게 됐다."
재벌집 기둥서방이 되었다.," 어느 날 여자친구에게 충격적인 고백을 듣고 말았다.""아버님이 뭐하신다고?""""회사 회장님이셔.""이제 나 너 믿고 셔터 내리면 돼?"
센스 [독점]," 절차 기억(procedural memory) : 행위나 기술, 조작에 관한 기억으로서 수행할 수 있으면서도 쉽게 표현할 수 없는 지식을 표상한다....그런데 말이다.인터넷을 아무리 뒤져봐도 지금 내가 겪고 있는 특정 현상에 대해선 전혀 언급이 없다.다른 사람의 절차 기억까지도 습관처럼 사용할 수 있는 건 대체 뭐라고 불러야 하지?타인의 감각을 자신의 것처럼.."
천재로 돌아왔다," 따돌림당하던 아이돌이 회귀했다?!회귀하고 보니 노래, 춤, 프로듀싱 다 잘해.대체 못하는 게 뭐야?""이번 생은 눈치 보지 않고 내 재능을 전부 발휘할 테다.""천재로 돌아왔다."
성스러운 아이돌 [독점]," 만인의 사랑을 받는 대신관 렘브러리.무명 3년 차 핵잠수함 아이돌 멤버의 몸에 들어와 버렸다!""내가 아이돌이라고? 아이돌이 무엇이냐?""“이거 말투 왜 이래? 또 이상한 책보다 잔 거 아냐?!”“참으로 곤혹스럽구나. 진정하거라.”“아 이상한 컨셉 좀 잡지 말라고! 평범하게 말하라고 좀!"""
따개비 [독점], '어느날 그것들이 뭍으로 올라왔다.'
얼굴 천재 배우님 [독점]," 뛰어난 외모로 주목을 받았지만 처참한 연기력으로 예쁜 쓰레기, 꽃병풍 등의 별명을 얻으며 전국적 놀림거리가 된 배우 시준.유일하게 자신의 꿈을 응원해 줬던 아버지를 그리워하며 노력을 게을리하지 않지만 특유의 딱딱한 표정과 고저 없는 목소리가 발목을 잡는다.그렇게 오디션장에서 세계적인 감독에게 망신을 당한 시준은 작품 분석 노트가 잔뜩 쌓인 자신의 오피스텔에.."
로또 1등도 장사를 합니다, 로또 1등에 당첨되었다.이제는 좀 설렁설렁 일 하려고 했는데왜 장사가 더 잘 되냐고!
시그널P-감염지대 [독점], “아직도 모르겠어? 당신도 물리면 ‘저렇게’ 된다고!”평범하게 살고 있던 우리 앞에 ‘무언가’가 나타났다.보랏빛이 되어 흘러내리는 피부.하얗게 열화된 눈동자.다리가 끊어져도 달려드는 집념.평범한 사람들을 감염시키는 ‘무언가’들.우리는 놈들로부터 어떻게든 살아남는다.
손만대면 전부 떡상!, [양질 전환을 시작합니다.][재료: 폐급 그래픽카드 3개 ][결과: 최고사양 그래픽카드 1개 ]만능 치트로 인생 역전이 시작되었다.
두 번 사는 축구천재 [독점]," 장애인인 줄 알았던 두 번째 몸, 오히려 나에겐 축복이었다."
나태한 천재는 거물이 되기로했다," 타고난 능력과 두뇌가 있으나,워낙 게을러서 그것들을 굳이 사용하지 않는 유형.어제까지는 그랬다."
전생이 천재였다," 음악엔 관심도 없던 인생이었다.근데, 전생은 달랐나 보다."
먼치킨 삼촌의 현대적응기," 30년간 던전에 갇혔다 풀려난 삼촌은 지상 최강의 먼치킨이 돼 있었다. 다만-​“아니, 저게 다 문신이란 말이냐? 나 때는 신체발부 수지부모라고, 부모님이 주신 몸에 상처를 낼 생각은....”​현대사회에 적응하려면 시간이 좀 걸릴 것 같다.​#일상#힐링#가족#헌터물#식도락​"
망한 게임의 올마스터 [독점]," 리뷰도 평점도 없는 망한 게임 어나더(Another). 스트레스 99에 재미 1인 게임이었지만, 썩 괜찮았다.내가 그 미친 세계로 들어가기 전까지는."
재벌집 막내아들," 『자금이라는 것은 주인인 내가 알지 머슴이 뭘 압니까』 정태수 한보그룹 회장이 국회청문회에서 무심코 한 말이다.직장인, 샐러리맨이라고 부르지만, 사실은 머슴이다.나 역시 머슴이다. 하지만 언젠가는 집사가 되겠다고 이를 악물었다.하지만 집사는커녕 내동댕이쳐진 머슴이 나의 마지막이었다.그리고 신의 축복을 받았다.딱 절반의 축복을.다 좋은데 왜 하필 막내냐고!"
상남자 [독점], 샐러리맨의 꿈인 CEO드디어 올랐다. 그런데.......사람이 없다.함께 부대낄 사람이 없었다. 첫 출근날.자신이 정리해고했던 동료의 부고장이 날아왔다. 거기다 회사만 생각하는 자신에게서 가족이 떠나갔다. 맞다고 생각했던 인생이 송두리째 무너져내렸다. 도대체 어디서부터 잘못된 것일까?절망에 쌓였던 한유현에게 또 한번의 기회가 찾아왔다.이번에는 꼭.제대로 살..
전천후 연예생활백서," 실패한 소속사 사장 전천후.방송국 입사 1년 차로 돌아간 그 날, 이상한 알림이 울렸다.[*연예생활백서*가 도착했습니다.]#회귀 #연예계 #전천후 #매니저"
대본 냄새가 나 [독점]," 8년 무명 배우, 서태하.어느 날, 성공하는 대본의 향기를 맡게 되었다."
망나니 검사가 달라졌다 [독점]," 눈 떠보니 망나니더라.승소율 94% 엘리트 변호사 김한성.역대급 망나니 검사에 빙의하다.목표는 오로지 복수.""너, 딱 기다려.""앞만 보고 달려주마."
재벌 사위 때려치고 쇼핑몰 합니다," 철없던 20대 초반, 재력과 미모에 반해 부잣집 딸과 무작정 결혼했다. 결혼 후 장인 회사를 거래액 5조원의 업계 1위로 만들었다.흔한 남성 의류 쇼핑몰을 남성 의류 대표 플랫폼으로 성장시켰지만, 결혼 생활은 원만하지 못해 늘 삐걱삐걱.소원한 부부 사이를 정리하고 정글 같은 이커머스 시장에 도전장을 내밀었다. 이제 재벌 사위 때려치우고 나 하고 싶은 거 하.."
최강 : 신이라 불리는 사나이," 최고의 용병들만이 모인 곳.블랙드래곤그곳에서 '신'이라 불리는 자가 있다.오직 복수만을 생각하는....""둘 중 하나 죽어야 끝나는 게임이야."""
손만 대도 맛있어!," 윤재 현대판타지 장편소설 어느 날,내 눈에 음식의 레시피가 보이기 시작했다."
조카랑 붕어빵 팔아요, 사고로 죽은 형이 남긴 유일한 가족 서리.눈에 넣어도 안 아플 조카를 위해 붕어빵 노점을 시작했다.그런데 장사가 너무 잘된다.
나 혼자만 모든 직업 [독점]," 2020 지상최대공모전 수상작!-직업? 굳이 하나만 고를 필요 있어?100층탑을 클리어하기 위한 최고의 직업은 무엇일까?전사? 마법사? 도적? 성직자? 그것도 아니면 대장장이?사실, 정답은 정해져 있다.‘모든 직업.’검술, 마법, 자물쇠 따기, 격투, 연금술 포션 제작, 소환술, 무기 제작 등등.못 하는 게 없는 최강의 만능 플레이어 강은혁!치밀하고 통쾌한.."
해고 후 먼치킨, 해고당한 김부장이 각성했다.
나 혼자 네크로맨서 [외전포함]," 멸망한 세계에서 살아남기 위해 단 한 가지 직업을 고를 수 있다.당신은 무슨 직업을 고르겠는가?""네크로맨서""나에게는 멸망이 무대이고, 죽음이 자산이 된다.+ 아포칼립스, 오X체스, 시너지, 조합, 군단, 생존"
귀령 [독점]," 전통신화와 한국적 오컬트로 초자연적 현상을 해결해 나가는 퇴마액션판타지.배꽃향기 가득한 지리산 자락의 작은 암자 세암당.남도 만신의 후예이자 천궁 선녀의 환생 하연은 금강저를 통해 영의 세계에 개입할 수 있는 청년, 건우를 만나 세상의 슬픔과 한을 풀고 악귀를 퇴치해 나간다.*작품공지본 소설에 관심을 가져주셔서 진심으로 감사합니다.1. 본 소설은 특정 종교.."
득템왕 [독점]," 2020 지상최대공모전 수상작!어느 날, 게임 역사상 가장 비싼 아이템을 먹어버렸다."
공정거래위원회 [독점], 하청 업체는 내게 고마운 로봇들이었다.로봇을 쥐어짜는 것은 너무나도 당연한 일이었다.그러나 몸담았던 그룹에 토사구팽당하고새로운 몸으로 눈을 뜨고 나서야 비로소 그들의 눈물이 보였다.죽음의 문턱에서 얻은 두 번째 삶이번 생엔 그 죄를 참회할 수 있을까?
마운드 위의 절대자, 고등학교 2학년 때까지 야구선수를 꿈꾸었던 것 그것이 자신의 야구 인생의 전부였던 이진용.[베이스볼 매니저를 시작합니다.]- 너 내가 보이냐?그런 그의 눈에 보이지 않던 게 보이기 시작했다.
역대급 세계 재벌, 이제 세상을 가질 차례다.
신입사원 김철수, [제6회 대한민국 웹소설 공모대전 대상]회귀해보니 출근 첫날이었다.
어두운 바다의 등불이 되어, 3000m 아래 해저기지에입사한지 닷새만에 물이 샌다고?
절대 실패하지 않는 아이돌의 기술," 시청률 폭발, 오디션 프로그램 이후 쏟아진 악플에 포기했던 아이돌 인생을 다시 선택한다.어차피 후회할 거면 하고 후회하자."
알고보니 재벌아들, 우연한 기회에 출생의 비밀이 밝혀졌다.재벌 아들이라는 기쁨도 잠시.이 기업은 5년 뒤 서브프라임 사태와 함께 파산한다.
후회 안 하는 프로듀서 [독점], 전생에서 못 이룬 아이돌 프로듀서의 꿈이번에는 내 손으로 만들고 만다.
미래를 보는 투자자," “위대한 기업가는 있어도 위대한 투자자는 없어. 그게 이 나라의 현실이야.”어느 날, 눈앞에 뭔가가 보이기 시작했다.과연 이 능력으로 뭘 할 수 있을까?이제부터 세계 금융의 판을 새롭게 짠다!"
은퇴한 S급 용병의 회귀생활," 한때는 전설로 불리던 자연인이 죽음과 함께 회귀했다.군인, 용병, 경호에서 최고로 꼽히던 강수.평생 찾지 않던 아버지는 재벌 2세, 평범한 줄 알았던 돌아가신 어머니는 비밀로 가득했다.#헌터물아님 #자연인의회귀 #지랄맞은인연 #꼭꼭숨어라원수 #전투적인사회생활"
재벌 3세 메이저리거가 회귀했다 [독점]," 실버 슬러거 9번, 골든 글러브 7번. 월드 시리즈 MVP 4번, 리그 MVP 6번.메이저리거로서 성공한 인생을 살았지만, 홀로 걸어온 그 끝에는 아쉬움만이 가득했다.술과 후회로 점철된 삶을 살던 내게 찾아 온 기적같은 기회."
