제목,요약
태존비록(怠尊秘錄)," 『태존비록』천하의 겁난을 종식시킨 위대한 무인.광휘무존(光輝武尊) 위연호(魏衍澔).그는 군자(君子)였으며, 대인(大人)이었고, 대협(大俠)이었.......""그 인간, 그거 완전 인간 말종이거든.""차마 세상에 알릴 수 없는 진실.고금제일대협의 실체가 낱낱이 밝혀진다!"
천마신교 최강 막내제자 [독점]," 2021 지상최대공모전 수상작!“명심하게, 그대가 본 교의 유일한 희망이라는 사실을.”대천산의 깊은 눈 속에 잠든 지 십 년. 다시 세상 밖으로 뛰쳐나왔을 때, 이미 천마신교는 존재하지 않았다.천마의 마지막 제자 운휘.자신만의 새로운 마교를 꿈꾼다."
사부님들이 구독 중 [독점]," , ,  무림의 위대한 전설이었지만, 그들도 천상에선 말단 신선들일 뿐이다. 천상과 소통하게 된 연청운과 야근 좀 그만하고 싶어 하는 사부들의 기묘한 동행이 시작된다."
학사검전 리마스터," 사내로 태어났으면 과거에 급제 학사로 양명을 하든가무림으로 출두하여 무공을 드날릴진대,이도 저도 아닌 처량한 신세로 전락한 학사 운현.그가 황실 장서각에 파묻혀 지내길 십 년, 드디어 붓을 들어 무림 완전 정복에 나서게 되는데....오로지 공부만이 살길이던 모범 학사의 무림 완전 정복 이야기가 시작된다!"
시리도록 불꽃처럼, 빙공의 절대고수 백무진.마침내 세상으로 나오다.
청풍표국 최강식객 [독점]," 황제의 호위무사였던 임요성.자신에게 예정된 모든 부귀영화를 버리고 강호에 나선 그에게 나타난 새로운 인연. 그렇게 강남 소주의 작은 표국에서 그의 강호행이 시작된다.""나 말이오? 청풍표국의 식객이오만?"""
권왕환생," 죽음을 맞이한 권왕 단우성. 다시 눈을 뜬 곳은 은하상단의 대공자의 몸이었다. 가진 것이라고는 돈 밖에 없었던 대공자의 몸으로 다시 수련을 시작한 단우성은 무공을 회복해서 은하상단으로 복귀하고, 압도적인 재력과 전생의 무공을 발판삼아 다시 복수에 나서는데..."
백씨세가 시한부 공자 [독점]," “그날, 천하제일인의 혼령을 만났다.”백씨세가의 시한부 공자로 환생한 백이강.그의 눈앞에 역대 천하제일인들의 혼령이 차례차례 나타난다."
할배무사와 지존 손녀 [독점], 2021 지상최대공모전 수상작!“이 나이에 강호 출도라니? 아이고 허리야.”
천씨세가의 망나니가 되었다 [독점]," 2021 지상최대공모전 수상작!무명(無名), 죽음으로 회귀하다.한데, 자신이 모셨던 천씨세가의 대공자가 되었다."
천화일로 [독점]," 천화문? 정파와 사파 사이에서 사이좋게 욕을 먹는 그 가문?맞다! 그리고 내가 바로 그 가문 가주의 아들이며, 소가주이며, 소문주이다.그렇게 욕으로 장수하며 아무 사건도 없이 지낼 것 같았는데....... “의천 학관? 제가 거기 가서 뭘 합니까?”가서 욕이나 더 먹으라고요?“네가 잘하면 욕 먹을 일도 없겠지.”갑작스러운 아버지의 통보로 쫒겨나 듯이 가게된 의천학.."
혈귀귀환, 혈귀(血鬼).14살이 되었다.
어쩌다 사파지존," ""사파는 인간도 아니라고 누가 그랬어?사파는 다 죽는 게 세상을 위한 거라고 누가 그랬어?...그래, 내가 그랬었지... 그랬는데.......무림 제일 해결사인 내가,사파 집안의 장손으로 환생해버렸다.하, 시박... 어떡하지?"""
장씨세가 호위무사 [독점]," 하북 서남쪽, 심주현에 위치한 세가. 이백 년 전에는 성도를 비롯 서남쪽 중요 거점을 장악했던 곳이었으나 점점 가세가 기울다 오늘날 성도에 세력을 떨치고 있는 석가장에게 공격을 당한다. 이에 장씨세가는 재력을 이용해 고수들을 초빙한다. 그사이 선친 때부터 가주를 보좌했던 황 노인은 과거 은정을 베풀었던 한 사내의 기억을 떠올리며 그를 만나러 가는데...... ."
검에 비친 달을 보다, 천마에게 패한 칠흑검제 이서휘.두 눈이 온전한 시절로 돌아오다.
학사신공," *이 작품은 忘语의 소설 을 한국어로 옮긴 것입니다.평범한 산골 소년이 뜻밖에 강호 문파의 기명제자(記名弟子)로 발을 들이게 된다. 어느 날 우연히, 신체의 잠재된 능력을 극대화하는 약재들을 만들 수 있는 신기의 병(甁)을 얻는다.여러 단약으로 신체를 육성한 한립은, 최고의 법술과 도술을 연마하여 자신에게 위해되는 문파와 도인들의 계.."
낙향문사전 [독점], 낙방 서생 손빈은 뜻하지 않은 만남을 통해 사자혁과 인연을 맺게 된다. 그의 일대기를 쓰면서 천하를 주유하게 되는데....... 과연 손빈의 손끝에서 맺어지는 무림 일대기는 어떻게 흘러갈 것인가? 또한 두 사람의 운명의 끝은.......
화산파 천재검귀, 사파제일검. 검귀 독고헌.화산파의 대사형이 되었다.
귀검무영," 미리혼 신무협 장편소설『귀검무영』귀 시리즈의 두 번째, 묵직함과 강렬함을 계승한 무협이 왔다!마침내 강호로 귀환한 용일의 복수행이 바야흐로 시작되었으니 이제 기이막측한 그의 귀검은 광풍처럼 휘몰아치리라!"
무무 무적(武無 無敵), 이건 정말 무(武)가 맞는 걸까?가볍게 넘기기엔 그것은 너무도 압도적인 힘이었다.
불후범인 [독점]," *이 작품은 鹅是老五의 소설 不朽凡人(2016)을 한국어로 옮긴 것입니다.세계 최고의 생물학자, 몰락한 제국의 왕자로 환생하다!천재 생물학자 막무기는 필생의 숙원이었던 경맥을 넓혀주는 약물 개발에 성공한다. 그러나 환희의 순간, 믿었던 연인에게 살해당하고 마는데.... 그가 다시 눈을 떴을 때, 눈 앞에 펼쳐진 건 전혀 다른 세상이었다.‘이건 소설에서 봤던 모.."
소무전기 [독점]," 2020 지상최대공모전 수상작!모두가 천하제일고수로 인정하는 자가 있으니,한때 검성(劍聖)이라는 별호로 불렸던 인물이다.검성은 강호에 회의감을 느끼고 은퇴를 선언하지만,세상은 결코 은퇴한 그를 가만히 내버려 두지 않는다.누가 감히 그의 역린을 건드렸는가!"
대몽주," *이 작품은 忘语의 소설 를 한국어로 옮긴 것입니다.꿈과 현실을 오가며, 천지를 뒤덮을 마(魔)의 강림을 막아라!허약한 체질로 죽음을 눈앞에 두고 수도사의 길로 접어들게 된 심협우연히 손에 넣은 옥침(玉枕)은 그를 현실보다 생생한 꿈속 세계로 인도하는데...평온하지만 턱없이 부족한 자질로 보잘것없는 수사(修士)에 불과한 현실과요괴와 귀신이 .."
무적지경," 미친 사부에게 겨우 '탈출'해 강호로 나왔다.시작부터 마교와 엮이게 되는데...이용당할 순 없다, 역으로 이용해 주마.미친 사부. 그 노괴에게 한 방 먹이는 그 날까지!"
구마 [독점]," *이 작품은 耳根의 소설 를 한국어로 옮긴 것입니다.세상을 다스릴 야만전사가 될 기회가 찾아왔다!“야만전사의 신체를 갖지 못한 내가 무슨 수로 야만전사가 되겠어? 턱도 없는 일이지.”하늘을 날고, 산을 옮기고, 바다를 뒤엎을 수 있는 강대한 힘을 가진 야만전사.소명은 그런 야만전사가 되고 싶지만, 그에 걸맞은 신체를 타고나지 못한 평범한 .."
패왕의 별," ""영웅이 시대를 만드는가? 시대가 영웅을 만드는가?전설로 내려오던 패왕의 별이 떴다.사상 처음으로 구주팔황의 무림을 일통할 패왕(覇王)이 탄생하리라!소년이 하늘을 가리키자 노인이 물었다.“허허허. 네 꿈은 하늘이 되고 싶은 것이냐?”“아니, 하늘을 부술 것입니다.”그가 무림에 출도하고 펼치는 파격적이고 광오한 행보!내 앞을 막는 것이 있다면 태산이라도 베리.."
검신재림(劍神再臨) [독점], 중원의 평화를 위해 목숨까지 바쳤다.그런데 다시 눈을 뜬 순간 과거로 돌아와 있었다.“죽어라 희생했으니 이번 생은 좀 설렁설렁 살아도 되잖아?”
