제목,요약
피폐물 남주의 엄마가 되었다 [독점]," 눈을 떠보니 피도 눈물도 없는 피폐물 소설 속 남주의 엄마가 되어 있었다.원작 소설 속, 잔인하기로 유명한 남주였기에 싹수부터 다를 거라며 덜덜 떨며 그를 봤는데.“마시써!”즐겁게 디저트를 오물거리는 볼이 빵빵했다.“...괜찮아, 걸어갈 수 이써!”넘어져서 아플 텐데도, 눈물을 훔치며 다시 씩씩하게 걸어가는 모습이 보였다.“어떡해....”피폐물 남주가 될 내 아들.."
부부의 의무를 원하신다면 [독점]," “난 당신을 부인으로 맞이하긴 했지만, 침실을 공유할 생각은 없어.”바샬족의 하나뿐인 공주 두하 옐 바샬.단지 여인이라는 이유로 족장의 자리를 뺏긴 두하는부족을 위해 제국과의 혼인을 결심한다.그녀의 결혼 상대는 할튼의 주인이자, 제국 최강의 검.레온하르트 반 에스바덴 대공.“당신이 이곳에서 무얼 하든 상관하지 않겠어. ‘에스바덴 공작 부인’으로서의 품위만 .."
"언니, 이번 생엔 내가 왕비야 [독점]"," <2020년 네이버 지상최대공모전 로맨스판타지 부문 최우수상 수상작>“덩치 큰 여자는 싫대. 널 안으면서 항상 나를 안는 상상을 했대.”내 왕비 대관식 전날, 나의 약혼자는 나를 내쳤고. 비참하게 탑에 갇힌 나를 더할 나위 없이 아름다운 나의 친언니가 조롱했다.“나는 대체품이었다는 건가요?”내 물음에 완벽한 나의 약혼자는 표정을 일그러뜨리며 비웃었다.“대체.."
아름다운 줄리엣을 위하여 [독점]," 에녹 레트라키는 그의 아내 줄리엣을 사랑한다. 비록 아내는 그를 조금도 사랑하지 않는다고 해도.줄리엣은 그에게 얼굴도 보여 주기 싫어했다. 그녀에게 에녹은 그저 억지로 맺어진 이방인일 뿐이었다.***그래, 분명 그랬는데.에녹은 제 허리를 끌어안고 흐느끼는 여자를 바라보며 생각했다. 이게 무슨 일인가. 그는 도저히 알 수가 없었다.이 결 좋은 검은 머리칼이나.."
사과잼의 맛 [선공개]," 작은 베이커리에서 일하는 평범하지만 사랑스러운 아가씨 클레어.그녀는 어느 날 길에 떨어진 자줏빛 목걸이를 줍는다.딱 봐도 낡아 보이는지라 주인을 찾아줄 생각도 못 했으나, 클레어는 이날을 두고두고 후회하게 된다.목걸이의 주인은 다름 아닌 노튼 백작가의 도련님이자 슈데힐의 치안대장인 클라이브였으니까.“저 여자의 인적 사항을 받아놔. 도난일 가능성도 있으니.”.."
재혼 황후 [독점], 완벽한 황후였다. 그러나 황제는 도움이 될 황후가 필요없다고 한다. 그가 원하는 건 배우자이지 동료가 아니라 한다. 황제는 나비에를 버리고 노예 출신의 여자를 옆에 두었다. 그래도 괜찮았다. 황제가 그녀에게 다음 황후 자리를 약속하는 걸 듣기 전까진. 나비에는 고민 끝에 결심했다. 그렇다면 난 옆 나라의 황제와 재혼하겠다고.
훼손된 자리에 남은 것은 [독점], 반역가의 여식황태자의 장난감죽지 못해 사는 인생이는 모두 리레트를 가리키는 말이었다부친의 모반이 실패로 돌아간 후 황태자의 놀잇감으로 전락하고 마는 리레트.그러던 중 이 무슨 신의 농간인지.황실과 한패나 다름없는 유스투티아 공작의 네임이 몸에 발현하고야 만다운명이자 저주열병이자 낙인우연이자 악연네임으로 인해 리레트는 의사와 상관없이 그와 엉망진창으로 엮이고..
"여보, 소꿉친구랑 행복하세요"," 어린 시절부터 아버지에게 학대를 받고 자란 클라리체는 자신의 결혼식 날만을 기다린다.명망받는 백작가의 주인이자, 그녀를 지옥 같은 집안에서 구원해준 그녀의 구원자.제넷 슬리드. 그와 함께 하게 될 날들에 부푼 기대를 안고 결혼식을 올린다. 그러나 결혼식 전, 자신에게 청혼했을 때와는 다르게 제넛은 클라리체를 전혀 돌아보지 않고 그의 소꿉친구만을 우선시 한다.."
악녀는 공작님과 이혼하고 싶습니다," “다들 공작 부인이 변했다고 했을 때, 흘려들었는데.... 이런 깜찍한 소리를 할 줄이야....”남자친구와 오랜 친구 간의 바람을 목격한 그날 밤 사고를 당한 주아라, 그런데 눈떠보니 소설 속 공작 부인인 아리엔으로 빙의되어 있었다. 그것도 남편 손에 목이 댕강 날아가는 악녀로?!정부를 옆구리에 낀 남편 따윈 필요 없어! 당당해진 아리엔은 남편에게 이혼을 요구했다.."
"고수, 후궁으로 깨어나다 [독점]"," ""내가 후궁이라고?"" 현 무림에서 가장 강하다 일컬어지는 고수 천년비.   유일하게 믿었던 동료의 배신으로 아무도 모르는 곳에서 죽음을 맞이한다.   그런데 깨어나보니...... 후궁의 몸에 들어와 있다?   처음에는 당혹스러웠지만, 뭐 황제와 엮일 일도 없는 것 같고, 구중궁궐의 평온한 삶이 마음에 든 천년비는 그냥 쭉 이 몸으로 살기로 결심한다.   하지만 황.."
"악녀는 말했다. 돈, 권력, 조신한 남편! [선공개.."," 희대의 악녀 오필리아 라세레스. 아스트라 사람들은 그녀를 그렇게 불렀다. 아스트라의 왕세자 앨버스의 정부인 그녀는 그의 사랑을 얻기 위해, 그의 신부를 불에 태워 죽이려고 음모를 꾸미다 자신이 먼저 타죽게 된다.인생 2회 차, 죽기 2년 전으로 회귀한 오필리아. “사랑 따위는 개나 줘 버려.”이번 생에는 무조건 조신한 남편을 찾아 성대한 결혼식도 올리고, .."
이게 다 첫사랑 때문이다 [선공개]," 프리든 가의 시든 꽃을 주워버린 비운의 공작.제국에서 가장 영향력 있는 사업체를 이끌어 갈 마르키시오 가문의 공작과 몰락한 남작가 여식이 한데 묶일 수 있는 유일한 문장이었다.“후원을 받아, 메디아 프리든. 괜한 자존심 세우지 말고.”여자의 표정 위로 떠오른 감정들을 하나, 둘 낚아챘다.부끄러움과 수치, 원망이 뒤섞인 작은 얼굴이 곧 발갛게 물들었다.말로는.."
적녀의비 [독점]," 원제丨성총지적녀의비(盛宠之嫡女医妃)친자매처럼 여기던 사촌 백모소에게 황후의 자리를 빼앗기고, 모든 가족들이 목숨을 잃는 것까지 보아야 했던 남궁가의 적녀 남궁월.냉궁에 유폐되었으나 특유의 지략으로 진남왕을 부추겨 반란을 일으켰고,결국 황제와 백모소의 목숨을 앗으며 복수에 성공을 했지만,그녀 자신 또한 죽음에 이르고 만다.그런데, 눈을 뜨니 다시 어린 시절로.."
단짠단짠 수능 명강사의 비밀 [독점]," 사람들의 진짜 실력을 등급으로 볼 수 있는 그녀,수능 명강사로 성공해서 건물주가 되기 직전고대의 일자무식 여인에게 빙의해 버렸다.유식하고 잘난 남편이 무시해도 상관없어.부유한 친정의 비호 아래 편하게 잘 살 줄 알았는데.큰일 났다.무식한 동생들을 과거시험에 합격시키지 않으면 친정이 망하게 생겼다.수능 명강사 그녀,고대에서도 통할까?"
베이비 폭군 [독점]," ‘내 나이 한 살, 제국의 황제가 되어 버렸다!’ 가족의 사랑을 바랐지만 결국 받지 못한 삶. 더 이상 가족 같은 건 필요 없다고 여겼다. 비참한 결말 끝에 눈을 뜬 나. 응? 내가 제국의 공주라고? 그런데, 황제라는 아빠가 이상하다?! “메이블. 네게 폰세 성을 하사하마.” “가장 비옥한 영지도 너의 것이다.” 태어나자마자 시작된 하사 러쉬는 내 나이 한.."
꽃이 삼킨 짐승 [독점]," “웃으니 예쁘군요, 아이리스. 단숨에 삼켜버리고 싶을 만큼.” 위틀로 공작가의 꽃이라 불렸지만, 사실은 지옥에서 자란 잡초처럼 살다 죽은 아이리스. 다시 얻은 삶, 그저 편하게 지내고 싶어서 이용하려고 접근한 케이브란트는 몹시도 뜨겁고 짐승 같은 사내였다. “어디 한번 날 뜨겁게 만들어봐요. 가능할지 모르겠지만."" 당당한 그녀와 야수 같은 그의 농밀한 이야.."
버림받은 왕녀는 복수를 꿈꾼다," 때로 복수심은 그 자체만으로 삶의 원동력이 된다.백령국의 유일한 적통 왕녀, 명인은탐욕스러운 후궁의 계략에 휘말려 어린 나이에 모든 것을 빼앗기고 왕궁에서 쫓겨나고 만다.“그대는 누구지?”“안녕하세요, 왕녀님! 저는 이 집에서 종살이하는 백윤이라고 합니다.”하지만 그 처지를 우울하게 받아들이는 것도 잠시,자신의 까칠한 물음에도 불구하고 해사하게 미소 짓는 .."
황후를 훔친 이는 누구인가 [독점], “황후가 다리를 절어 걸어올 때마다 내가 얼마나 소름이 끼쳤는지 모를 거야.”......그 상처들이 나를 얼마나 초라하게 만드는지도.황제는 고작 그런 이유로 비수처럼 내리는 눈 속에서 황후를 내버렸다.그녀의 가족과 친구들의 피가 묻은 검을 든 채로.**흩날리는 매서운 눈발.하얗게 명멸되어가는 세상 속에 덩그러니 남겨진 로젤린은 기꺼이 죽음을 받아들이기로 했다.살아..
"죄송하지만, 실수였습니다 [선공개]"," “결혼하기로 했으면, 책임져야지. 안 그래?”연인이었던 엘리오스에게 모든 걸 바쳐 헌신했건만, 그는 황녀와 결혼을 해버렸다.배신감에 홀연히 제국을 떠난 베르.전 연인을 잊기 위해 독한 술을 들이켜던 그 날. 베르는 절대로 되돌릴 수 없는 실수를 저지르고 만다.숙취로 지끈거리는 머리를 부여잡으며 간신히 눈을 뜨자, 믿지 못할 광경이 보였다.갈색 피부, 황금색.."
당신이 후회한 뒤에 [선공개]," “너를 죽일 걸 그랬어.” 카디우스 공작 부인이 죽었다. 사인은 중독.독의 마녀라는 멸칭에 어울리지 않는 죽음이었다.그녀의 장례식에서.그녀의 남편 라하르트는 눈 하나 깜짝하지 않고 성혼 맹세를 읊었다.정작 결혼식에서는 한 마디도 하지 않았던 그가.“죽음조차도 맹세를 부수고 내게서 그대를 데려가진 못할 것이다.”한때는 세상에서 제일 사랑했던, 그러나 지금은 .."
까칠한 공작님이 내게 어떻게 빠졌냐면요," ‘엄마는 날 왜 이렇게 낳은 거야?’마법 명가에서 태어나 마나를 느끼지 못하는 마리엘.갖은 모멸과 멸시를 받다 죽게 된다.그것도 이복 언니의 계략에 휘말려서, 가장 처참하게.‘어? 난 분명히 죽었는데.’알 수 없는 이유로 회귀한 그녀. 엄청난 재능은 덤이었다.‘이제 당당한 마법사로 살아갈 거야!’새롭게 얻은 삶에 소박한 소원은 그게 다였다. 한데...“오늘부로.."
북부 공작님을 유혹하겠습니다 [독점]," “내 애인인 척 사교계에 들어가.”전 세계에서 주목하는 톱스타, 셀리나는촬영 중 갑작스러운 사고로 북부 공작의 땅에 차원 이동한다.마수에게서 목숨을 구해준 북부 공작, 칼시온은셀리나에게 자신의 애인인 척 사교계에 들어가정보를 입수하라는 계약을 제시한다.임무 성공 시 셀리나를 원래 세계로 돌려보내 주겠다는 조건으로!셀리나는 칼시온의 애인 계약에 덥석 손을 잡.."
버림받은 대공비가 아이를 가졌다 [선공개]," ""몸으로 유혹하더니 뒤에선 이따위 짓을 꾸미고 있었나?""잉그리드 후작의 명령으로 카를로스와 정략결혼을 한 아르테나.한때 황좌에 가장 가까웠던 사내, 대공 카를로스 페르디난도에게 불가의 목적을 짊어지고도 사랑에 빠지게 되지만,“몸은 얼마든지 내어줄 수 있어. 이제까지 그래왔잖나.”“.......”“하지만 마음까진 원하진 마.”남편의 경멸을 받게 된다.조작된 진실. .."
최선을 다해 후회하세요 [독점]," 최선을 다해 사랑했다.가족들은 저를 돌아봐 주지 않았고 약혼자는 저를 사랑하지 않았다.최선을 다하면 진심은 통한다는 말, 어머니가 틀렸다.십사 년의 짝사랑 끝에서야 깨달은 결과는 아팠다.어디론가 떠나고 싶었던 순간, 승전 연회에서 본 전쟁 영웅, 비칸데르 대공은 거리에서 우연히 만난 아름다운 남자, 그자였다.“내게 부디 가장 귀한 당신을 허락해 주세요.”대.."
